id,type,sign_name,question,option_a,option_b,option_c,option_d,answer,explanation,handbook_ref,image_ref
121,general,NA,当高速公路入口线很短时进入交通行列最安全的方法是...,逐渐加速以使其他来车看见你,利用公路的左线以达行车速度,等候较长的交通间隔再立即加速进入,尽快利用入口加速道以达到公路速度,C,当高速公路入口线很短时进入交通行列最安全的方法是等候较长交通间隔再立刻加入,chapter_30,NA
122,general,NA,一般来说如果交叉路口没有交通控制设备哪一辆车有权先行？,正在右转弯的车子,相反方向来的车子,在你右边的车子,在你左边的车子,C,交叉路口无交通信号灯在你右边的车先行,chapter_30,NA
123,general,NA,当你驶进一交通被阻的交叉路口应当...,慢慢行驶直到前面交通逐渐向前移动,停止在交叉路口外直到你可以通过,尽量靠近其他车辆,按喇叭使前面的车向前开动,B,当驶到一交通被阻的交叉路口应停在交叉路口外直到你可以通过,chapter_30,NA
124,general,NA,除酒精外还有什么药物会影响驾驶能力？,过敏药,大麻烟草,伤风药凉药,以上三个皆会,D,除酒精外还有过敏药伤风药大麻会影响驾驶能力,chapter_31,NA
125,general,NA,当你驶近交叉路口交通灯由绿色转为黄色你该如何？,红灯快亮了准备停车,在红灯亮前加快速度通过交叉路口,立刻停止,停在交叉路口中间等待绿灯,A,当驶近交叉路口交通灯由绿转黄说明红灯快亮了准备停车,chapter_31,NA
126,general,NA,当下大雨时车身较低部分被水淹没发动机停止应如何发动车辆？,把车钥匙转到发动车位置定住至车发动为止,把油门踩下一半然后再转钥匙发动,断续转钥匙发动,开暖气后再转钥匙发动,B,下大雨时车身较低部分被水淹没发动机停止时把油门踩下一半然后再转动钥匙发动,chapter_31,NA
127,general,NA,当你等在交叉路口中想左转时应该...,若有车子挡住则绕至其他车后而过,打信号灯并将车轮打直,闪你的车头灯以便来车让你先过,打信号灯并将车轮转左,B,等在交叉路口想左转时应打信号灯并将车轮打直,chapter_31,NA
128,general,NA,高速公路的加速小道AccelerationLane有何作用？,供火车开入高速公路前试验刹车之用,供驾驶人员进入高速公路前加快速度之用,供驾驶人员超过慢速车辆之用,供过路客人搭乘便车之用,B,高速公路的加速小道供驾驶者进入高速路前加快速度用,chapter_32,NA
129,general,NA,当超车后何时可以转回右线？,当打开转弯灯后,看到其他来车的头灯,打开车头灯后,当从倒后镜中看见后面汽车的保险杠时,D,超车后什么时候可转回右线从后视镜可以看到后车保险杠时,chapter_32,NA
130,general,NA,在交叉路口有一红灯一绿色箭头的交通灯号此时表示什么？,等见绿灯再向任何方向前进,完全停住然后向箭头所指方向前进,可向箭头所指方向小心前进其他则等绿灯,等见绿灯再向箭头所指方向前进,C,交叉路口亮一红灯一绿色箭头灯可向箭头所指方向小心前进其他则需要等待绿灯,chapter_32,NA
131,general,NA,在晚上如何减少对面车辆车灯射来的光度？,看往方向盘的下缘,两眼转向你所行车路右边的白色行车线,戴浅色眼镜,打开你车前灯的高灯来反射对面的灯光,B,晚间开车为减少对面车灯射来的光度你可以双眼转看你所行车道右边的白色行车线,chapter_32,NA
132,general,NA,你在私人车道开进大道时应该如何？,让大道上所有车子先走,车子部分停在大路上引起其他车注意,加快速度开上大路配合其他的速度,不问大路上有无车辆完全停止,A,从私人车道驶入大道时应让大道所有车辆先行,chapter_32,NA
133,general,NA,你平行倒车进入两车之间以后应该如何？,尽可能将车向前移动,前轮摆直前后两车之间留些空位,倒车差不多碰到后面的车子,将前轮转向道路,B,平行倒车进入两车之间后应前轮摆直在前后两车之间留些空位,chapter_32,NA
134,general,NA,行驶中刹车板突然下沉如何应变？,断续踩压刹车让它恢复弹性,停止驾驶,转至空档熄灭引擎,用脚尖把刹车板挑起,A,行驶中刹车板突然下沉应继续踩压刹车使其恢复弹性,chapter_33,NA
135,general,NA,因意外汽车驶进水里应如何逃生？,打开车门游水逃生,打开车窗游水逃生,留在车内等待拯救,放弃一切,B,汽车意外落入水中应立刻打开车窗游水逃生,chapter_33,NA
136,general,NA,醉酒或者吃药后驾驶会有何种后果？,罚款,坐监,吊销驾照,三者皆会,D,醉酒或吃药后驾驶将面临罚款吊销执照坐牢,chapter_33,NA
137,general,NA,在公路上指示驾驶人员进入适当路线转弯是哪种设备？,闪烁红灯,路旁白色边线,闪烁黄灯,路上油漆白色箭头,D,公路上指示驾驶者进入适当路线转弯的设施是路上油漆的白色箭头,chapter_33,NA
138,general,NA,你在转弯前应该如何？,在转弯前两车身距离时使用讯号灯,周围看看如果没有危险再行转弯,按喇叭等交叉路口没有车辆再转弯,保持正常速度前行,B,转弯前应仔细查看周围确保没有危险时再转弯,chapter_33,NA
139,general,NA,当发觉你驾驶之汽车散发浓烟应如何处理？,浓烟会自动消散无须理会,尽快选择安全地点停车马上离开此车寻找援助,不顾一切横冲直撞以待浓烟消散,致电回家询问原因,B,当驾驶的汽车散发浓烟时要尽快选择安全地点停车并马上离开此车寻求援助,chapter_33,NA
140,general,NA,下列哪项即使是暂时停止亦在禁止之列？,在公路桥梁上面,在车辆进出路口,火车平交道五十尺以内,消防栓前面,A,即使在哪里短暂停车都是严禁的公路桥梁上,chapter_33,NA
141,regulatory,STOP,What does this sign mean?,SLOWER TRAFFIC KEEP RIGHT,Double Left Turns,No U Turns,STOP,D,This is a STOP sign,NA,Regulatory Signs/stop.png
142,regulatory,YIELD,What does this sign mean?,Keep Right,EMERGENCY PARKING ONLY,YIELD,Left Turn Only,C,This is a YIELD sign,NA,Regulatory Signs/yield.png
143,regulatory,SPEED LIMIT,What does this sign mean?,SPEED LIMIT,SLOWER TRAFFIC KEEP RIGHT,Left Turn Only,ONE WAY,A,This is a SPEED LIMIT sign,NA,Regulatory Signs/speed_limit.png
144,regulatory,DO NOT ENTER,What does this sign mean?,LEFT LANE MUST TURN LEFT,Keep Left,ONE WAY,DO NOT ENTER,D,This is a DO NOT ENTER sign,NA,Regulatory Signs/do_not_enter.png
145,regulatory,No Bicycles,What does this sign mean?,No Bicycles,Keep Right,DO NOT PASS,LEFT LANE MUST TURN LEFT,A,This is a No Bicycles sign,NA,Regulatory Signs/no_bicycles.png
146,regulatory,Left Turn Only,What does this sign mean?,Left Turn Only,NO TURNS,ONE WAY,LEFT LANE MUST TURN LEFT,A,This is a Left Turn Only sign,NA,Regulatory Signs/left_turn_only.png
147,regulatory,Thru & Left,What does this sign mean?,LEFT LANE MUST TURN LEFT,Parking Time Limit,Thru & Left,DO NOT STOP ON TRACKS,C,This is a Thru & Left sign,NA,Regulatory Signs/thru_and_left.png
148,regulatory,LEFT LANE MUST TURN LEFT,What does this sign mean?,No Left Turn,LEFT LANE MUST TURN LEFT,No Bicycles,No Right Turn,B,This is a LEFT LANE MUST TURN LEFT sign,NA,Regulatory Signs/left_lane_must_turn_left.png
149,regulatory,No Left Turn,What does this sign mean?,No Left Turn,DO NOT STOP ON TRACKS,Left Turn Only,RAILROAD CROSSING,A,This is a No Left Turn sign,NA,Regulatory Signs/no_left_turn.png
150,regulatory,ONE WAY,What does this sign mean?,DO NOT STOP ON TRACKS,EMERGENCY PARKING ONLY,ONE WAY,KEEP OFF MEDIAN,C,This is a ONE WAY sign,NA,Regulatory Signs/one_way.png
151,regulatory,Keep Left,What does this sign mean?,DO NOT STOP ON TRACKS,Keep Left,Reserved Parking,Thru & Left,B,This is a Keep Left sign,NA,Regulatory Signs/keep_left.png
152,regulatory,Keep Right,What does this sign mean?,Keep Right,DO NOT ENTER,DO NOT PASS,YIELD,A,This is a Keep Right sign,NA,Regulatory Signs/keep_right.png
153,regulatory,No Right Turn,What does this sign mean?,SLOWER TRAFFIC KEEP RIGHT,No Right Turn,EMERGENCY PARKING ONLY,RAILROAD CROSSING,B,This is a No Right Turn sign,NA,Regulatory Signs/no_right_turn.png
154,regulatory,NO TURNS,What does this sign mean?,SPEED LIMIT,RAILROAD CROSSING,BUS STOP,NO TURNS,D,This is a NO TURNS sign,NA,Regulatory Signs/no_turns.png
155,regulatory,No U Turns,What does this sign mean?,RAILROAD CROSSING,No U Turns,SPEED LIMIT,NO TURNS,B,This is a No U Turns sign,NA,Regulatory Signs/no_u_turns.png
156,regulatory,Double Left Turns,What does this sign mean?,SPEED LIMIT,BUS STOP,Double Left Turns,Reserved Parking,C,This is a Double Left Turns sign,NA,Regulatory Signs/double_left_turns.png
157,regulatory,KEEP OFF MEDIAN,What does this sign mean?,LEFT LANE MUST TURN LEFT,ONE WAY,SLOWER TRAFFIC KEEP RIGHT,KEEP OFF MEDIAN,D,This is a KEEP OFF MEDIAN sign,NA,Regulatory Signs/keep_off_median.png
158,regulatory,DO NOT PASS,What does this sign mean?,Keep Right,ONE WAY,DO NOT PASS,Reserved Parking,C,This is a DO NOT PASS sign,NA,Regulatory Signs/do_not_pass.png
159,regulatory,PASS WITH CARE,What does this sign mean?,SPEED LIMIT,NO TURNS,PASS WITH CARE,Reserved Parking,C,This is a PASS WITH CARE sign,NA,Regulatory Signs/pass_with_care.png
160,regulatory,SLOWER TRAFFIC KEEP RIGHT,What does this sign mean?,ONE WAY Arrow,KEEP OFF MEDIAN,SLOWER TRAFFIC KEEP RIGHT,No U Turns,C,This is a SLOWER TRAFFIC KEEP RIGHT sign,NA,Regulatory Signs/slower_traffic_keep_right.png
161,regulatory,EMERGENCY PARKING ONLY,What does this sign mean?,No U Turns,BUS STOP,Left Turn Only,EMERGENCY PARKING ONLY,D,This is a EMERGENCY PARKING ONLY sign,NA,Regulatory Signs/emergency_parking_only.png
162,regulatory,Parking Time Limit,What does this sign mean?,Left Turn Only,Parking Time Limit,No Bicycles,ONE WAY,B,This is a Parking Time Limit sign,NA,Regulatory Signs/one_hour_parking.png
163,regulatory,Reserved Parking,What does this sign mean?,NO TURNS,Reserved Parking,Keep Right,DO NOT ENTER,B,This is a Reserved Parking sign,NA,Regulatory Signs/reserved_parking.png
164,regulatory,BUS STOP,What does this sign mean?,Parking Time Limit,Thru & Left,No Left Turn,BUS STOP,D,This is a BUS STOP sign,NA,Regulatory Signs/no_parking_bus_stop.png
165,regulatory,ONE WAY Arrow,What does this sign mean?,BUS STOP,SLOWER TRAFFIC KEEP RIGHT,PASS WITH CARE,ONE WAY Arrow,D,This is a ONE WAY Arrow sign,NA,Regulatory Signs/one_way.png
166,regulatory,RAILROAD CROSSING,What does this sign mean?,Double Left Turns,LEFT LANE MUST TURN LEFT,RAILROAD CROSSING,SLOWER TRAFFIC KEEP RIGHT,C,This is a RAILROAD CROSSING sign,NA,Regulatory Signs/railroad-crossing2.png
167,regulatory,DO NOT STOP ON TRACKS,What does this sign mean?,DO NOT STOP ON TRACKS,SLOWER TRAFFIC KEEP RIGHT,SPEED LIMIT,LEFT LANE MUST TURN LEFT,A,This is a DO NOT STOP ON TRACKS sign,NA,Regulatory Signs/do_not_stop_on_tracks.png
168,warning,Signal Ahead,What does this sign mean?,ROAD CLOSED,Winding Road,Signal Ahead,Side Road,C,This is a Signal Ahead sign,NA,Warning Signs/signal_ahead.png
169,warning,Merging Traffic,What does this sign mean?,Lane Drop,Two Way Traffic,Merging Traffic,Side Road,C,This is a Merging Traffic sign,NA,Warning Signs/merging_traffic.png
170,warning,Lane Drop,What does this sign mean?,Lane Drop,Divided Highway Ends,Two Way Traffic,Cattle Crossing,A,This is a Lane Drop sign,NA,Warning Signs/lane_drop.png
171,warning,Divided Highway,What does this sign mean?,Right Turn,ROAD CLOSED,Divided Highway,Signal Ahead,C,This is a Divided Highway sign,NA,Warning Signs/divided_highway.png
172,warning,Cattle Crossing,What does this sign mean?,Stop Ahead,Curve Right,Side Road Right,Cattle Crossing,D,This is a Cattle Crossing sign,NA,Warning Signs/cattle_crossing.png
173,warning,Deer Crossing,What does this sign mean?,School,Farm Machinery,Deer Crossing,YIELD AHEAD,C,This is a Deer Crossing sign,NA,Warning Signs/deer_crossing.png
174,warning,Low Clearance,What does this sign mean?,Low Clearance,School Crossing,Farm Machinery,Cross Road,A,This is a Low Clearance sign,NA,Warning Signs/low_clearance.png
175,warning,NO PASSING ZONE,What does this sign mean?,Side Road,School Crossing,NO PASSING ZONE,Winding Road,C,This is a NO PASSING ZONE sign,NA,Warning Signs/no_passing_zone.png
176,warning,Right Turn,What does this sign mean?,Right Turn,School,Winding Road,Railroad Crossing,A,This is a Right Turn sign,NA,Warning Signs/right_turn.png
177,warning,Curve Right,What does this sign mean?,ROAD CLOSED,Hill,Curve Right,School Crossing,C,This is a Curve Right sign,NA,Warning Signs/curve_right.png
178,warning,Farm Machinery,What does this sign mean?,Farm Machinery,Curve Right,School Crossing,SOFT SHOULDER,A,This is a Farm Machinery sign,NA,Warning Signs/farm_machinery.png
179,warning,Side Road,What does this sign mean?,Right Turn,Low Clearance,Stop Ahead,Side Road,D,This is a Side Road sign,NA,Warning Signs/side_road.png
180,warning,Divided Highway Ends,What does this sign mean?,Cattle Crossing,Divided Highway Ends,SOFT SHOULDER,Winding Road,B,This is a Divided Highway Ends sign,NA,Warning Signs/divided_highway_ends.png
181,warning,Two Way Traffic,What does this sign mean?,Two Way Traffic,Curve Right,Divided Highway,Merging Traffic,A,This is a Two Way Traffic sign,NA,Warning Signs/two_way_traffic.png
182,warning,Hill,What does this sign mean?,Hill,NO PASSING ZONE,ROAD CLOSED,Stop Ahead,A,This is a Hill sign,NA,Warning Signs/hill.png
183,warning,Slippery When Wet,What does this sign mean?,Right Turn,Slippery When Wet,Low Clearance,Deer Crossing,B,This is a Slippery When Wet sign,NA,Warning Signs/slippery_when_wet.png
184,warning,Bike Crossing,What does this sign mean?,NO PASSING ZONE,Railroad Crossing,Stop Ahead,Bike Crossing,D,This is a Bike Crossing sign,NA,Warning Signs/bike_crossing.png
185,warning,SOFT SHOULDER,What does this sign mean?,SOFT SHOULDER,Bike Crossing,Merging Traffic,Signal Ahead,A,This is a SOFT SHOULDER sign,NA,Warning Signs/soft_shoulder.png
186,warning,Side Road Right,What does this sign mean?,Bike Crossing,Side Road Right,Lane Drop,SOFT SHOULDER,B,This is a Side Road Right sign,NA,Warning Signs/side_road.png
187,warning,Cross Road,What does this sign mean?,Cross Road,School Crossing,Divided Highway Ends,Curve Right,A,This is a Cross Road sign,NA,Warning Signs/cross_road.png
188,warning,Winding Road,What does this sign mean?,Slippery When Wet,School Crossing,Winding Road,Deer Crossing,C,This is a Winding Road sign,NA,Warning Signs/winding_road.png
189,warning,Stop Ahead,What does this sign mean?,ROAD CLOSED,Lane Drop,Stop Ahead,Slippery When Wet,C,This is a Stop Ahead sign,NA,Warning Signs/stop_ahead.png
190,warning,YIELD AHEAD,What does this sign mean?,Railroad Crossing,Right Turn,Low Clearance,YIELD AHEAD,D,This is a YIELD AHEAD sign,NA,Warning Signs/yield_ahead.png
191,warning,ROAD CLOSED,What does this sign mean?,Right Turn,ROAD CLOSED,Farm Machinery,Side Road,B,This is a ROAD CLOSED sign,NA,Warning Signs/road_closed_ahead.png
192,warning,School,What does this sign mean?,Signal Ahead,School,Side Road Right,Side Road,B,This is a School sign,NA,Warning Signs/school.png
193,warning,School Crossing,What does this sign mean?,Lane Drop,Side Road,School Crossing,SOFT SHOULDER,C,This is a School Crossing sign,NA,Warning Signs/school_crossing.png
194,warning,Railroad Crossing,What does this sign mean?,School,Bike Crossing,SOFT SHOULDER,Railroad Crossing,D,This is a Railroad Crossing sign,NA,Warning Signs/railroad-crossing.png
195,highway,U.S. Highway Route Marker,这个盾形标志表示什么？,州际公路,美国联邦公路,州级公路,县级公路,B,白色盾形标志上有黑色数字表示美国联邦公路的编号,NA,Highway Signs/us_highway_route_marker.png
196,highway,N.C Route Marker,这个带有NC字样的标志表示什么？,美国公路,北卡州级公路,县级道路,私人道路,B,带有NC字样的标志表示北卡罗来纳州级公路编号,NA,Highway Signs/nc_route_marker.png
197,highway,N.C. Secondary Road Sign,这个五边形标志表示什么？,主干道,州际公路,北卡次级公路,联邦公路,C,五边形标志表示北卡罗来纳州的次级公路或县级道路,NA,Highway Signs/nc_secondary_road_sign.png
198,highway,Interstate Highway Sign,这个红蓝色盾形标志表示什么？,州级公路,州际高速公路,国道,收费公路,B,红蓝色盾形标志表示州际高速公路系统,NA,Highway Signs/interstate_highway_sign.png
199,highway,Rest Area,这个蓝色标志表示什么？,医院,加油站,休息区,收费站,C,蓝色标志显示前方有休息区可以停车休息,NA,Highway Signs/rest_area.png
200,highway,Hospital,这个蓝色H标志表示什么？,停车场,医院,酒店,高速公路,B,蓝色H标志表示附近有医院,NA,Highway Signs/hospital.png
201,highway,State Park,这个棕色标志表示什么？,国家公园,州立公园,森林保护区,野生动物保护区,B,棕色标志表示北卡州立公园的位置,NA,Highway Signs/state_park.png
202,highway,Interstate Exit Sign,这个绿色标志显示EXIT和数字表示什么？,里程标记,州际公路出口,收费站,服务区,B,绿色标志显示州际公路的出口编号和方向,NA,Highway Signs/interstate_exit_sign.png
203,highway,Interstate Route Sign,这个绿色标志显示城市名称和箭头表示什么？,行驶方向和距离,限速信息,收费信息,道路编号,A,绿色标志指示前往目的地城市的方向和距离,NA,Highway Signs/interstate_route_sign.png
